键,值,上级,省/直辖市/自治区
110000,北京市,中华人民共和国,北京市
110101,东城区,北京市,北京市
110102,西城区,北京市,北京市
110105,朝阳区,北京市,北京市
110106,丰台区,北京市,北京市
110107,石景山区,北京市,北京市
110108,海淀区,北京市,北京市
110109,门头沟区,北京市,北京市
110111,房山区,北京市,北京市
110112,通州区,北京市,北京市
110113,顺义区,北京市,北京市
110114,昌平区,北京市,北京市
110115,大兴区,北京市,北京市
110116,怀柔区,北京市,北京市
110117,平谷区,北京市,北京市
110118,密云区,北京市,北京市
110119,延庆区,北京市,北京市
120000,天津市,中华人民共和国,天津市
120101,和平区,天津市,天津市
120102,河东区,天津市,天津市
120103,河西区,天津市,天津市
120104,南开区,天津市,天津市
120105,河北区,天津市,天津市
120106,红桥区,天津市,天津市
120110,东丽区,天津市,天津市
120111,西青区,天津市,天津市
120112,津南区,天津市,天津市
120113,北辰区,天津市,天津市
120114,武清区,天津市,天津市
120115,宝坻区,天津市,天津市
120116,滨海新区,天津市,天津市
120117,宁河区,天津市,天津市
120118,静海区,天津市,天津市
120119,蓟州区,天津市,天津市
130000,河北省,中华人民共和国,河北省
130100,石家庄市,河北省,河北省
130102,长安区,石家庄市,河北省
130104,桥西区,石家庄市,河北省
130105,新华区,石家庄市,河北省
130107,井陉矿区,石家庄市,河北省
130108,裕华区,石家庄市,河北省
130109,藁城区,石家庄市,河北省
130110,鹿泉区,石家庄市,河北省
130111,栾城区,石家庄市,河北省
130121,井陉县,石家庄市,河北省
130123,正定县,石家庄市,河北省
130125,行唐县,石家庄市,河北省
130126,灵寿县,石家庄市,河北省
130127,高邑县,石家庄市,河北省
130128,深泽县,石家庄市,河北省
130129,赞皇县,石家庄市,河北省
130130,无极县,石家庄市,河北省
130131,平山县,石家庄市,河北省
130132,元氏县,石家庄市,河北省
130133,赵县,石家庄市,河北省
130181,辛集市,石家庄市,河北省
130183,晋州市,石家庄市,河北省
130184,新乐市,石家庄市,河北省
130200,唐山市,河北省,河北省
130202,路南区,唐山市,河北省
130203,路北区,唐山市,河北省
130204,古冶区,唐山市,河北省
130205,开平区,唐山市,河北省
130207,丰南区,唐山市,河北省
130208,丰润区,唐山市,河北省
130209,曹妃甸区,唐山市,河北省
130224,滦南县,唐山市,河北省
130225,乐亭县,唐山市,河北省
130227,迁西县,唐山市,河北省
130229,玉田县,唐山市,河北省
130281,遵化市,唐山市,河北省
130283,迁安市,唐山市,河北省
130284,滦州市,唐山市,河北省
130300,秦皇岛市,河北省,河北省
130302,海港区,秦皇岛市,河北省
130303,山海关区,秦皇岛市,河北省
130304,北戴河区,秦皇岛市,河北省
130306,抚宁区,秦皇岛市,河北省
130321,青龙满族自治县,秦皇岛市,河北省
130322,昌黎县,秦皇岛市,河北省
130324,卢龙县,秦皇岛市,河北省
130400,邯郸市,河北省,河北省
130402,邯山区,邯郸市,河北省
130403,丛台区,邯郸市,河北省
130404,复兴区,邯郸市,河北省
130406,峰峰矿区,邯郸市,河北省
130407,肥乡区,邯郸市,河北省
130408,永年区,邯郸市,河北省
130423,临漳县,邯郸市,河北省
130424,成安县,邯郸市,河北省
130425,大名县,邯郸市,河北省
130426,涉县,邯郸市,河北省
130427,磁县,邯郸市,河北省
130430,邱县,邯郸市,河北省
130431,鸡泽县,邯郸市,河北省
130432,广平县,邯郸市,河北省
130433,馆陶县,邯郸市,河北省
130434,魏县,邯郸市,河北省
130435,曲周县,邯郸市,河北省
130481,武安市,邯郸市,河北省
130500,邢台市,河北省,河北省
130502,桥东区,邢台市,河北省
130503,桥西区,邢台市,河北省
130521,邢台县,邢台市,河北省
130522,临城县,邢台市,河北省
130523,内丘县,邢台市,河北省
130524,柏乡县,邢台市,河北省
130525,隆尧县,邢台市,河北省
130526,任县,邢台市,河北省
130527,南和县,邢台市,河北省
130528,宁晋县,邢台市,河北省
130529,巨鹿县,邢台市,河北省
130530,新河县,邢台市,河北省
130531,广宗县,邢台市,河北省
130532,平乡县,邢台市,河北省
130533,威县,邢台市,河北省
130534,清河县,邢台市,河北省
130535,临西县,邢台市,河北省
130581,南宫市,邢台市,河北省
130582,沙河市,邢台市,河北省
130600,保定市,河北省,河北省
130602,竞秀区,保定市,河北省
130606,莲池区,保定市,河北省
130607,满城区,保定市,河北省
130608,清苑区,保定市,河北省
130609,徐水区,保定市,河北省
130623,涞水县,保定市,河北省
130624,阜平县,保定市,河北省
130626,定兴县,保定市,河北省
130627,唐县,保定市,河北省
130628,高阳县,保定市,河北省
130629,容城县,保定市,河北省
130630,涞源县,保定市,河北省
130631,望都县,保定市,河北省
130632,安新县,保定市,河北省
130633,易县,保定市,河北省
130634,曲阳县,保定市,河北省
130635,蠡县,保定市,河北省
130636,顺平县,保定市,河北省
130637,博野县,保定市,河北省
130638,雄县,保定市,河北省
130681,涿州市,保定市,河北省
130682,定州市,保定市,河北省
130683,安国市,保定市,河北省
130684,高碑店市,保定市,河北省
130700,张家口市,河北省,河北省
130702,桥东区,张家口市,河北省
130703,桥西区,张家口市,河北省
130705,宣化区,张家口市,河北省
130706,下花园区,张家口市,河北省
130708,万全区,张家口市,河北省
130709,崇礼区,张家口市,河北省
130722,张北县,张家口市,河北省
130723,康保县,张家口市,河北省
130724,沽源县,张家口市,河北省
130725,尚义县,张家口市,河北省
130726,蔚县,张家口市,河北省
130727,阳原县,张家口市,河北省
130728,怀安县,张家口市,河北省
130730,怀来县,张家口市,河北省
130731,涿鹿县,张家口市,河北省
130732,赤城县,张家口市,河北省
130800,承德市,河北省,河北省
130802,双桥区,承德市,河北省
130803,双滦区,承德市,河北省
130804,鹰手营子矿区,承德市,河北省
130821,承德县,承德市,河北省
130822,兴隆县,承德市,河北省
130824,滦平县,承德市,河北省
130825,隆化县,承德市,河北省
130826,丰宁满族自治县,承德市,河北省
130827,宽城满族自治县,承德市,河北省
130828,围场满族蒙古族自治县,承德市,河北省
130881,平泉市,承德市,河北省
130900,沧州市,河北省,河北省
130902,新华区,沧州市,河北省
130903,运河区,沧州市,河北省
130921,沧县,沧州市,河北省
130922,青县,沧州市,河北省
130923,东光县,沧州市,河北省
130924,海兴县,沧州市,河北省
130925,盐山县,沧州市,河北省
130926,肃宁县,沧州市,河北省
130927,南皮县,沧州市,河北省
130928,吴桥县,沧州市,河北省
130929,献县,沧州市,河北省
130930,孟村回族自治县,沧州市,河北省
130981,泊头市,沧州市,河北省
130982,任丘市,沧州市,河北省
130983,黄骅市,沧州市,河北省
130984,河间市,沧州市,河北省
131000,廊坊市,河北省,河北省
131002,安次区,廊坊市,河北省
131003,广阳区,廊坊市,河北省
131022,固安县,廊坊市,河北省
131023,永清县,廊坊市,河北省
131024,香河县,廊坊市,河北省
131025,大城县,廊坊市,河北省
131026,文安县,廊坊市,河北省
131028,大厂回族自治县,廊坊市,河北省
131081,霸州市,廊坊市,河北省
131082,三河市,廊坊市,河北省
131100,衡水市,河北省,河北省
131102,桃城区,衡水市,河北省
131103,冀州区,衡水市,河北省
131121,枣强县,衡水市,河北省
131122,武邑县,衡水市,河北省
131123,武强县,衡水市,河北省
131124,饶阳县,衡水市,河北省
131125,安平县,衡水市,河北省
131126,故城县,衡水市,河北省
131127,景县,衡水市,河北省
131128,阜城县,衡水市,河北省
131182,深州市,衡水市,河北省
140000,山西省,中华人民共和国,山西省
140100,太原市,山西省,山西省
140105,小店区,太原市,山西省
140106,迎泽区,太原市,山西省
140107,杏花岭区,太原市,山西省
140108,尖草坪区,太原市,山西省
140109,万柏林区,太原市,山西省
140110,晋源区,太原市,山西省
140121,清徐县,太原市,山西省
140122,阳曲县,太原市,山西省
140123,娄烦县,太原市,山西省
140181,古交市,太原市,山西省
140200,大同市,山西省,山西省
140212,新荣区,大同市,山西省
140213,平城区,大同市,山西省
140214,云冈区,大同市,山西省
140215,云州区,大同市,山西省
140221,阳高县,大同市,山西省
140222,天镇县,大同市,山西省
140223,广灵县,大同市,山西省
140224,灵丘县,大同市,山西省
140225,浑源县,大同市,山西省
140226,左云县,大同市,山西省
140300,阳泉市,山西省,山西省
140302,城区,阳泉市,山西省
140303,矿区,阳泉市,山西省
140311,郊区,阳泉市,山西省
140321,平定县,阳泉市,山西省
140322,盂县,阳泉市,山西省
140400,长治市,山西省,山西省
140403,潞州区,长治市,山西省
140404,上党区,长治市,山西省
140405,屯留区,长治市,山西省
140406,潞城区,长治市,山西省
140423,襄垣县,长治市,山西省
140425,平顺县,长治市,山西省
140426,黎城县,长治市,山西省
140427,壶关县,长治市,山西省
140428,长子县,长治市,山西省
140429,武乡县,长治市,山西省
140430,沁县,长治市,山西省
140431,沁源县,长治市,山西省
140500,晋城市,山西省,山西省
140502,城区,晋城市,山西省
140521,沁水县,晋城市,山西省
140522,阳城县,晋城市,山西省
140524,陵川县,晋城市,山西省
140525,泽州县,晋城市,山西省
140581,高平市,晋城市,山西省
140600,朔州市,山西省,山西省
140602,朔城区,朔州市,山西省
140603,平鲁区,朔州市,山西省
140621,山阴县,朔州市,山西省
140622,应县,朔州市,山西省
140623,右玉县,朔州市,山西省
140681,怀仁市,朔州市,山西省
140700,晋中市,山西省,山西省
140702,榆次区,晋中市,山西省
140703,太谷区,晋中市,山西省
140721,榆社县,晋中市,山西省
140722,左权县,晋中市,山西省
140723,和顺县,晋中市,山西省
140724,昔阳县,晋中市,山西省
140725,寿阳县,晋中市,山西省
140727,祁县,晋中市,山西省
140728,平遥县,晋中市,山西省
140729,灵石县,晋中市,山西省
140781,介休市,晋中市,山西省
140800,运城市,山西省,山西省
140802,盐湖区,运城市,山西省
140821,临猗县,运城市,山西省
140822,万荣县,运城市,山西省
140823,闻喜县,运城市,山西省
140824,稷山县,运城市,山西省
140825,新绛县,运城市,山西省
140826,绛县,运城市,山西省
140827,垣曲县,运城市,山西省
140828,夏县,运城市,山西省
140829,平陆县,运城市,山西省
140830,芮城县,运城市,山西省
140881,永济市,运城市,山西省
140882,河津市,运城市,山西省
140900,忻州市,山西省,山西省
140902,忻府区,忻州市,山西省
140921,定襄县,忻州市,山西省
140922,五台县,忻州市,山西省
140923,代县,忻州市,山西省
140924,繁峙县,忻州市,山西省
140925,宁武县,忻州市,山西省
140926,静乐县,忻州市,山西省
140927,神池县,忻州市,山西省
140928,五寨县,忻州市,山西省
140929,岢岚县,忻州市,山西省
140930,河曲县,忻州市,山西省
140931,保德县,忻州市,山西省
140932,偏关县,忻州市,山西省
140981,原平市,忻州市,山西省
141000,临汾市,山西省,山西省
141002,尧都区,临汾市,山西省
141021,曲沃县,临汾市,山西省
141022,翼城县,临汾市,山西省
141023,襄汾县,临汾市,山西省
141024,洪洞县,临汾市,山西省
141025,古县,临汾市,山西省
141026,安泽县,临汾市,山西省
141027,浮山县,临汾市,山西省
141028,吉县,临汾市,山西省
141029,乡宁县,临汾市,山西省
141030,大宁县,临汾市,山西省
141031,隰县,临汾市,山西省
141032,永和县,临汾市,山西省
141033,蒲县,临汾市,山西省
141034,汾西县,临汾市,山西省
141081,侯马市,临汾市,山西省
141082,霍州市,临汾市,山西省
141100,吕梁市,山西省,山西省
141102,离石区,吕梁市,山西省
141121,文水县,吕梁市,山西省
141122,交城县,吕梁市,山西省
141123,兴县,吕梁市,山西省
141124,临县,吕梁市,山西省
141125,柳林县,吕梁市,山西省
141126,石楼县,吕梁市,山西省
141127,岚县,吕梁市,山西省
141128,方山县,吕梁市,山西省
141129,中阳县,吕梁市,山西省
141130,交口县,吕梁市,山西省
141181,孝义市,吕梁市,山西省
141182,汾阳市,吕梁市,山西省
150000,内蒙古自治区,中华人民共和国,内蒙古自治区
150100,呼和浩特市,呼和浩特市,内蒙古自治区
150102,新城区,呼和浩特市,内蒙古自治区
150103,回民区,呼和浩特市,内蒙古自治区
150104,玉泉区,呼和浩特市,内蒙古自治区
150105,赛罕区,呼和浩特市,内蒙古自治区
150121,土默特左旗,呼和浩特市,内蒙古自治区
150122,托克托县,呼和浩特市,内蒙古自治区
150123,和林格尔县,呼和浩特市,内蒙古自治区
150124,清水河县,呼和浩特市,内蒙古自治区
150125,武川县,呼和浩特市,内蒙古自治区
150200,包头市,内蒙古自治区,内蒙古自治区
150202,东河区,包头市,内蒙古自治区
150203,昆都仑区,包头市,内蒙古自治区
150204,青山区,包头市,内蒙古自治区
150205,石拐区,包头市,内蒙古自治区
150206,白云鄂博矿区,包头市,内蒙古自治区
150207,九原区,包头市,内蒙古自治区
150221,土默特右旗,包头市,内蒙古自治区
150222,固阳县,包头市,内蒙古自治区
150223,达尔罕茂明安联合旗,包头市,内蒙古自治区
150300,乌海市,内蒙古自治区,内蒙古自治区
150302,海勃湾区,乌海市,内蒙古自治区
150303,海南区,乌海市,内蒙古自治区
150304,乌达区,乌海市,内蒙古自治区
150400,赤峰市,内蒙古自治区,内蒙古自治区
150402,红山区,赤峰市,内蒙古自治区
150403,元宝山区,赤峰市,内蒙古自治区
150404,松山区,赤峰市,内蒙古自治区
150421,阿鲁科尔沁旗,赤峰市,内蒙古自治区
150422,巴林左旗,赤峰市,内蒙古自治区
150423,巴林右旗,赤峰市,内蒙古自治区
150424,林西县,赤峰市,内蒙古自治区
150425,克什克腾旗,赤峰市,内蒙古自治区
150426,翁牛特旗,赤峰市,内蒙古自治区
150428,喀喇沁旗,赤峰市,内蒙古自治区
150429,宁城县,赤峰市,内蒙古自治区
150430,敖汉旗,赤峰市,内蒙古自治区
150500,通辽市,内蒙古自治区,内蒙古自治区
150502,科尔沁区,通辽市,内蒙古自治区
150521,科尔沁左翼中旗,通辽市,内蒙古自治区
150522,科尔沁左翼后旗,通辽市,内蒙古自治区
150523,开鲁县,通辽市,内蒙古自治区
150524,库伦旗,通辽市,内蒙古自治区
150525,奈曼旗,通辽市,内蒙古自治区
150526,扎鲁特旗,通辽市,内蒙古自治区
150581,霍林郭勒市,通辽市,内蒙古自治区
150600,鄂尔多斯市,内蒙古自治区,内蒙古自治区
150602,东胜区,鄂尔多斯市,内蒙古自治区
150603,康巴什区,鄂尔多斯市,内蒙古自治区
150621,达拉特旗,鄂尔多斯市,内蒙古自治区
150622,准格尔旗,鄂尔多斯市,内蒙古自治区
150623,鄂托克前旗,鄂尔多斯市,内蒙古自治区
150624,鄂托克旗,鄂尔多斯市,内蒙古自治区
150625,杭锦旗,鄂尔多斯市,内蒙古自治区
150626,乌审旗,鄂尔多斯市,内蒙古自治区
150627,伊金霍洛旗,鄂尔多斯市,内蒙古自治区
150700,呼伦贝尔市,内蒙古自治区,内蒙古自治区
150702,海拉尔区,呼伦贝尔市,内蒙古自治区
150703,扎赉诺尔区,呼伦贝尔市,内蒙古自治区
150721,阿荣旗,呼伦贝尔市,内蒙古自治区
150722,莫力达瓦达斡尔族自治旗,呼伦贝尔市,内蒙古自治区
150723,鄂伦春自治旗,呼伦贝尔市,内蒙古自治区
150724,鄂温克族自治旗,呼伦贝尔市,内蒙古自治区
150725,陈巴尔虎旗,呼伦贝尔市,内蒙古自治区
150726,新巴尔虎左旗,呼伦贝尔市,内蒙古自治区
